bust,waist,hips,shoulder,height,shape
42,36,32,23,151,InvertedTriangle
39,35,32,20,156,InvertedTriangle
44,39,34,22,155,InvertedTriangle
44,41,39,22,168,InvertedTriangle
40,30,39,19,157,Hourglass
39,37,38,17,165,Apple
38,37,37,18,158,Apple
35,31,41,18,179,Pear
40,30,38,19,166,Hourglass
34,29,46,17,161,Pear
40,36,35,24,175,InvertedTriangle
35,33,42,15,166,Pear
32,29,41,18,182,Pear
35,30,46,18,165,Pear
38,34,28,21,168,InvertedTriangle
38,36,40,19,150,Rectangle
44,42,43,20,153,Apple
36,31,44,15,155,Pear
45,40,39,20,151,InvertedTriangle
35,30,47,18,164,Pear
37,35,38,16,180,Rectangle
36,29,35,17,172,Hourglass
34,32,33,18,163,Rectangle
38,38,37,20,170,Apple
33,28,42,15,179,Pear
41,35,33,23,175,InvertedTriangle
37,35,35,20,165,Apple
40,38,42,18,170,Rectangle
38,38,36,18,183,Apple
39,29,37,16,152,Hourglass
38,37,38,17,162,Rectangle
36,35,34,18,163,Apple
38,36,35,18,172,Apple
44,43,41,17,152,Apple
41,32,39,17,182,Hourglass
39,36,41,19,170,Rectangle
33,28,44,17,178,Pear
40,36,35,20,151,InvertedTriangle
40,37,39,16,151,Rectangle
43,39,33,22,153,InvertedTriangle
37,35,35,18,152,Apple
37,36,38,16,153,Rectangle
37,33,46,16,170,Pear
41,40,39,17,167,Apple
35,25,34,17,180,Hourglass
37,27,39,18,173,Hourglass
43,42,40,20,177,Apple
40,36,33,20,157,InvertedTriangle
37,35,49,17,150,Pear
44,42,43,19,150,Apple
44,43,43,19,150,Apple
43,39,35,23,182,InvertedTriangle
35,33,34,16,174,Rectangle
38,32,32,24,174,InvertedTriangle
36,35,35,19,177,Apple
37,36,38,16,175,Rectangle
40,37,42,18,160,Rectangle
41,32,42,16,177,Hourglass
32,29,43,18,183,Pear
36,31,45,15,173,Pear
41,36,34,20,168,InvertedTriangle
39,39,37,19,171,Apple
40,37,39,19,151,Rectangle
35,31,45,17,168,Pear
39,33,39,18,156,Hourglass
45,39,36,24,161,InvertedTriangle
44,42,42,18,168,Apple
40,37,35,23,159,InvertedTriangle
37,35,45,15,157,Pear
32,27,43,18,156,Pear
35,32,45,16,154,Pear
39,34,31,24,167,InvertedTriangle
35,32,37,18,170,Rectangle
42,41,39,19,167,Apple
40,38,38,19,161,Apple
38,38,36,20,153,Apple
43,40,37,22,173,InvertedTriangle
42,38,33,22,169,InvertedTriangle
39,39,36,17,160,Apple
39,30,41,16,180,Hourglass
34,32,41,16,182,Pear
38,36,47,18,158,Pear
38,32,39,16,162,Hourglass
34,29,45,17,176,Pear
46,42,40,20,185,InvertedTriangle
44,43,41,20,157,Apple
40,40,38,18,178,Apple
37,36,34,20,156,Apple
35,28,33,19,172,Hourglass
37,33,44,17,164,Pear
39,38,38,20,171,Apple
32,29,40,18,170,Pear
39,36,40,16,171,Rectangle
40,37,32,21,183,InvertedTriangle
41,40,40,19,151,Apple
39,37,37,19,163,Apple
34,33,35,16,176,Rectangle
43,37,36,22,179,InvertedTriangle
44,41,34,21,172,InvertedTriangle
36,30,37,18,179,Hourglass
41,39,38,19,150,Apple
41,31,41,18,166,Hourglass
41,33,39,19,182,Hourglass
46,43,37,23,150,InvertedTriangle
32,28,42,17,184,Pear
38,30,36,17,169,Hourglass
42,41,40,19,181,Apple
36,34,36,17,180,Rectangle
41,41,39,17,181,Apple
37,33,44,15,168,Pear
36,32,45,15,178,Pear
45,40,37,21,185,InvertedTriangle
39,36,33,24,150,InvertedTriangle
43,43,40,19,158,Apple
33,30,39,16,160,Pear
35,30,41,17,168,Pear
42,41,40,20,175,Apple
38,34,48,17,151,Pear
38,37,35,17,182,Apple
40,30,42,16,163,Hourglass
44,41,37,23,175,InvertedTriangle
40,39,39,17,161,Apple
44,42,42,17,185,Apple
38,31,37,18,179,Hourglass
36,35,35,16,185,Rectangle
36,31,44,18,158,Pear
36,32,47,18,167,Pear
38,37,36,18,159,Apple
35,26,33,16,167,Hourglass
45,39,38,24,184,InvertedTriangle
38,37,35,19,152,Apple
38,34,30,23,182,InvertedTriangle
34,32,41,18,181,Pear
40,40,38,18,151,Apple
33,28,45,15,165,Pear
35,32,41,18,181,Pear
39,38,37,20,163,Apple
36,33,35,18,170,Rectangle
41,40,38,17,181,Apple
40,30,42,18,177,Hourglass
34,25,36,16,159,Hourglass
34,31,40,17,173,Pear
36,28,36,19,157,Hourglass
42,40,40,17,183,Apple
34,32,46,18,161,Pear
34,24,36,17,150,Hourglass
32,27,42,17,182,Pear
34,32,42,18,161,Pear
36,33,45,17,159,Pear
37,33,48,17,156,Pear
38,35,31,24,155,InvertedTriangle
38,34,31,21,183,InvertedTriangle
34,32,40,15,154,Pear
44,39,36,22,158,InvertedTriangle
40,38,40,16,181,Rectangle
42,37,33,24,151,InvertedTriangle
34,31,33,17,153,Rectangle
38,36,49,17,158,Pear
40,38,39,18,181,Apple
38,30,39,17,172,Hourglass
40,36,32,23,174,InvertedTriangle
41,32,41,16,185,Hourglass
41,39,38,17,166,Apple
46,40,38,21,169,InvertedTriangle
41,36,34,21,150,InvertedTriangle
37,35,34,20,176,Apple
34,31,35,16,164,Rectangle
38,33,28,24,175,InvertedTriangle
35,27,37,16,165,Hourglass
41,35,43,17,174,Hourglass
38,34,29,22,167,InvertedTriangle
44,42,42,20,174,Apple
36,34,43,16,183,Pear
34,31,43,17,175,Pear
38,38,37,17,184,Apple
41,35,36,22,165,InvertedTriangle
37,36,38,18,180,Rectangle
35,29,37,18,164,Hourglass
34,27,32,17,153,Hourglass
36,35,33,17,151,Apple
39,38,38,18,180,Apple
37,35,36,17,171,Rectangle
40,39,39,17,172,Apple
36,33,36,16,182,Rectangle
42,36,37,22,169,InvertedTriangle
44,41,34,24,185,InvertedTriangle
37,27,37,16,178,Hourglass
37,34,44,17,175,Pear
40,37,39,19,176,Rectangle
41,41,40,20,156,Apple
44,40,37,23,163,InvertedTriangle
43,38,35,20,163,InvertedTriangle
36,34,44,16,172,Pear
41,33,42,18,176,Hourglass
43,43,41,17,156,Apple
38,36,45,17,174,Pear
39,39,37,17,167,Apple
32,27,39,16,163,Pear
42,40,40,18,167,Apple
34,31,34,18,176,Rectangle
35,33,37,17,183,Rectangle
36,32,42,18,178,Pear
36,29,34,19,172,Hourglass
38,37,36,18,164,Apple
38,31,39,17,176,Hourglass
32,30,39,16,153,Pear
37,35,39,16,160,Rectangle
41,39,40,20,165,Apple
36,34,42,18,157,Pear
40,37,41,19,182,Rectangle
34,25,35,16,165,Hourglass
45,42,38,23,166,InvertedTriangle
34,31,33,16,157,Rectangle
38,35,39,16,170,Rectangle
43,40,33,22,163,InvertedTriangle
33,30,42,15,176,Pear
43,42,40,17,157,Apple
38,35,37,19,181,Rectangle
44,39,37,23,181,InvertedTriangle
38,35,33,21,173,InvertedTriangle
40,34,40,18,171,Hourglass
34,30,43,16,177,Pear
35,32,45,15,168,Pear
40,30,39,19,185,Hourglass
41,38,33,21,176,InvertedTriangle
41,33,41,17,165,Hourglass
40,36,30,22,152,InvertedTriangle
38,37,35,19,163,Apple
34,32,40,15,159,Pear
39,33,29,20,151,InvertedTriangle
36,35,34,17,178,Apple
37,36,39,18,167,Rectangle
37,34,47,18,170,Pear
37,35,36,19,180,Apple
39,36,39,19,151,Rectangle
42,36,43,18,160,Hourglass
39,32,41,17,185,Hourglass
34,29,44,18,169,Pear
35,33,36,17,176,Rectangle
38,36,47,16,177,Pear
41,39,39,17,151,Apple
36,34,44,18,152,Pear
42,36,33,20,174,InvertedTriangle
38,35,39,17,169,Rectangle
38,34,46,17,156,Pear
42,42,41,19,181,Apple
35,33,34,19,184,Rectangle
36,36,35,18,159,Apple
46,40,39,22,157,InvertedTriangle
38,36,40,18,158,Rectangle
38,34,47,15,162,Pear
46,42,38,21,154,InvertedTriangle
46,41,37,23,163,InvertedTriangle
38,35,28,24,152,InvertedTriangle
33,29,40,15,166,Pear
35,26,35,17,163,Hourglass
36,35,35,20,160,Apple
34,31,35,16,180,Rectangle
39,30,40,17,158,Hourglass
37,33,45,15,166,Pear
38,34,44,17,154,Pear
44,43,41,20,166,Apple
36,28,37,16,165,Hourglass
33,30,43,17,179,Pear
36,35,34,20,178,Apple
41,39,39,20,177,Apple
41,31,42,19,152,Hourglass
34,24,35,18,159,Hourglass
42,34,43,16,179,Hourglass
41,35,34,20,174,InvertedTriangle
36,34,46,17,170,Pear
36,35,37,18,155,Rectangle
38,36,37,17,156,Rectangle
33,29,40,17,165,Pear
42,38,32,22,175,InvertedTriangle
42,42,40,19,171,Apple
34,31,42,17,173,Pear
38,34,44,17,170,Pear
37,31,39,17,164,Hourglass
42,35,41,17,156,Hourglass
35,26,33,19,158,Hourglass
37,31,35,16,184,Hourglass
46,42,41,20,159,InvertedTriangle
41,31,39,17,166,Hourglass
37,35,36,16,164,Rectangle
45,39,36,24,159,InvertedTriangle
39,36,32,21,172,InvertedTriangle
37,35,48,18,157,Pear
37,30,38,18,170,Hourglass
34,26,33,16,155,Hourglass
44,40,38,21,171,InvertedTriangle
38,29,40,16,179,Hourglass
46,41,38,22,156,InvertedTriangle
36,36,35,17,168,Apple
36,33,35,19,164,Rectangle
43,37,36,21,163,InvertedTriangle
37,27,39,19,160,Hourglass
34,31,40,16,150,Pear
34,30,42,18,154,Pear
42,33,43,18,152,Hourglass
38,34,49,15,151,Pear
38,36,39,16,159,Rectangle
42,34,43,18,161,Hourglass
41,34,39,19,167,Hourglass
36,28,35,19,161,Hourglass
38,36,40,16,163,Rectangle
42,33,44,19,152,Hourglass
35,29,37,19,150,Hourglass
36,33,48,18,162,Pear
41,34,43,19,175,Hourglass
37,35,46,15,160,Pear
37,35,36,19,161,Rectangle
34,31,40,15,160,Pear
35,33,42,16,169,Pear
45,40,36,20,179,InvertedTriangle
38,36,38,19,153,Rectangle
41,31,39,19,176,Hourglass
34,24,32,16,154,Hourglass
39,32,41,18,172,Hourglass
38,28,37,19,158,Hourglass
40,40,37,19,182,Apple
39,36,38,16,177,Rectangle
35,30,45,16,184,Pear
38,33,48,16,153,Pear
38,36,49,16,151,Pear
39,38,37,20,160,Apple
45,41,37,21,164,InvertedTriangle
38,37,38,18,172,Rectangle
42,41,40,18,167,Apple
39,36,39,18,185,Rectangle
35,31,47,16,169,Pear
39,37,37,19,184,Apple
32,27,42,18,155,Pear
38,35,50,18,158,Pear
39,37,39,17,161,Rectangle
39,39,38,20,168,Apple
38,29,39,18,173,Hourglass
38,37,37,16,179,Rectangle
38,37,40,18,176,Rectangle
40,37,41,17,154,Rectangle
37,34,43,16,167,Pear
35,33,47,16,166,Pear
35,32,37,17,153,Rectangle
37,32,49,17,160,Pear
41,40,40,20,180,Apple
39,38,41,17,151,Rectangle
36,34,34,19,177,Apple
36,33,45,15,172,Pear
37,35,36,17,183,Apple
38,37,37,17,173,Rectangle
38,35,38,17,170,Rectangle
35,32,42,18,161,Pear
46,40,39,22,173,InvertedTriangle
33,30,39,16,175,Pear
36,26,34,18,158,Hourglass
39,37,38,20,177,Apple
43,40,34,20,180,InvertedTriangle
42,37,36,24,167,InvertedTriangle
34,32,43,15,151,Pear
36,31,42,18,150,Pear
44,43,41,19,174,Apple
38,36,48,16,174,Pear
39,29,41,19,170,Hourglass
44,40,35,24,180,InvertedTriangle
42,36,42,19,165,Hourglass
34,31,43,15,176,Pear
36,34,35,18,168,Apple
44,39,34,22,176,InvertedTriangle
38,37,37,18,157,Rectangle
40,39,42,17,150,Rectangle
36,33,45,15,183,Pear
39,37,37,18,168,Apple
32,28,44,17,151,Pear
39,34,29,21,180,InvertedTriangle
35,33,41,17,164,Pear
36,26,34,16,177,Hourglass
45,41,40,21,167,InvertedTriangle
43,43,42,20,168,Apple
37,29,38,19,157,Hourglass
36,28,36,17,155,Hourglass
42,41,41,18,160,Apple
34,31,46,17,183,Pear
35,25,37,18,156,Hourglass
35,30,46,15,175,Pear
35,32,37,18,153,Rectangle
34,30,40,18,167,Pear
37,33,46,17,174,Pear
37,29,35,17,175,Hourglass
34,32,43,16,172,Pear
38,37,40,17,181,Rectangle
41,34,39,17,170,Hourglass
42,32,43,18,157,Hourglass
37,37,35,20,171,Apple
43,41,40,18,176,Apple
35,32,44,17,179,Pear
41,35,39,18,184,Hourglass
39,36,32,21,170,InvertedTriangle
42,40,40,18,152,Apple
42,40,41,18,185,Apple
36,33,36,17,172,Rectangle
36,30,37,17,162,Hourglass
37,34,47,15,180,Pear
32,28,38,17,165,Pear
36,36,33,18,169,Apple
39,32,37,16,167,Hourglass
40,39,40,18,184,Rectangle
44,43,43,20,163,Apple
39,30,39,17,184,Hourglass
38,33,44,16,166,Pear
38,37,38,18,179,Rectangle
36,35,35,16,164,Rectangle
38,34,33,20,164,InvertedTriangle
38,32,28,21,156,InvertedTriangle
36,34,35,18,153,Rectangle
37,36,38,19,178,Rectangle
41,35,40,17,177,Hourglass
36,35,37,19,168,Rectangle
35,25,34,18,185,Hourglass
45,40,36,21,166,InvertedTriangle
39,30,41,18,178,Hourglass
37,29,37,17,174,Hourglass
34,29,41,15,176,Pear
36,27,38,16,168,Hourglass
37,36,36,16,176,Rectangle
32,27,42,17,163,Pear
38,37,38,19,152,Rectangle
43,42,41,18,174,Apple
43,38,37,20,175,InvertedTriangle
34,32,42,16,162,Pear
37,37,34,18,163,Apple
42,39,36,23,181,InvertedTriangle
39,34,34,22,167,InvertedTriangle
38,37,36,20,183,Apple
39,38,37,18,156,Apple
34,32,43,16,182,Pear
42,35,40,19,156,Hourglass
44,39,39,23,166,InvertedTriangle
34,31,34,17,184,Rectangle
42,40,40,19,153,Apple
37,37,36,18,185,Apple
43,43,41,18,150,Apple
36,29,37,18,155,Hourglass
40,37,35,23,150,InvertedTriangle
40,33,41,19,166,Hourglass
36,31,45,17,151,Pear
35,28,37,17,165,Hourglass
39,35,33,23,160,InvertedTriangle
42,41,40,19,167,Apple
42,41,40,20,170,Apple
41,33,39,18,184,Hourglass
39,36,34,23,156,InvertedTriangle
38,30,38,16,153,Hourglass
45,41,38,22,163,InvertedTriangle
44,44,42,20,177,Apple
40,37,39,19,158,Rectangle
38,31,39,18,160,Hourglass
36,27,36,17,154,Hourglass
36,35,35,16,185,Rectangle
34,32,42,15,180,Pear
34,30,46,15,161,Pear
37,29,36,18,183,Hourglass
38,32,33,21,168,InvertedTriangle
39,34,33,21,170,InvertedTriangle
41,37,36,22,183,InvertedTriangle
34,24,36,16,164,Hourglass
35,33,47,18,171,Pear
43,43,42,18,159,Apple
36,32,45,16,169,Pear
32,30,40,15,181,Pear
42,39,35,21,153,InvertedTriangle
42,34,44,19,170,Hourglass
42,37,33,21,183,InvertedTriangle
43,38,37,22,183,InvertedTriangle
46,40,40,20,161,InvertedTriangle
37,36,38,17,180,Rectangle
38,36,39,16,154,Rectangle
41,35,43,18,170,Hourglass
34,30,44,17,174,Pear
37,32,48,16,161,Pear
46,42,38,20,167,InvertedTriangle
39,32,37,18,185,Hourglass
42,39,34,23,166,InvertedTriangle
37,34,38,16,163,Rectangle
38,35,29,22,174,InvertedTriangle
42,41,41,18,184,Apple
32,30,43,18,152,Pear
44,39,36,23,179,InvertedTriangle
41,39,39,20,182,Apple
39,38,36,18,153,Apple
34,33,34,19,168,Rectangle
45,41,38,24,185,InvertedTriangle
38,35,37,18,152,Rectangle
38,33,31,20,185,InvertedTriangle
36,34,36,16,172,Rectangle
35,26,33,16,158,Hourglass
42,34,43,17,181,Hourglass
36,28,37,17,179,Hourglass
36,36,33,19,153,Apple
39,35,30,20,175,InvertedTriangle
38,38,36,20,160,Apple
43,41,41,18,161,Apple
39,38,41,17,174,Rectangle
39,33,32,24,157,InvertedTriangle
41,36,35,20,183,InvertedTriangle
37,34,46,16,164,Pear
36,33,47,16,156,Pear
39,37,37,18,183,Apple
35,26,33,19,169,Hourglass
35,32,35,18,161,Rectangle
34,32,45,18,175,Pear
40,36,32,24,174,InvertedTriangle
40,37,40,17,183,Rectangle
39,33,38,18,171,Hourglass
39,37,41,19,161,Rectangle
36,28,35,17,153,Hourglass
44,38,35,22,166,InvertedTriangle
39,37,38,18,151,Apple
38,35,48,16,159,Pear
36,35,35,17,178,Apple
40,30,42,17,171,Hourglass
38,34,31,24,158,InvertedTriangle
38,37,37,19,168,Rectangle
38,37,38,18,183,Rectangle
36,34,42,15,167,Pear
40,34,40,16,152,Hourglass
36,34,46,15,166,Pear
39,38,40,18,173,Rectangle
41,37,32,20,178,InvertedTriangle
37,32,43,17,155,Pear
36,33,36,17,153,Rectangle
40,34,39,18,180,Hourglass
37,29,37,17,164,Hourglass
35,28,37,18,169,Hourglass
34,32,33,18,152,Rectangle
33,29,44,16,158,Pear
37,34,44,18,182,Pear
45,42,36,22,158,InvertedTriangle
38,36,40,16,173,Rectangle
35,27,33,16,183,Hourglass
39,30,39,19,171,Hourglass
38,36,48,15,173,Pear
35,33,34,19,173,Rectangle
37,36,35,17,166,Apple
40,37,42,17,160,Rectangle
35,34,34,17,181,Rectangle
38,38,37,18,155,Apple
35,33,44,17,182,Pear
38,36,38,17,152,Rectangle
37,33,47,17,152,Pear
35,33,36,19,184,Rectangle
43,41,42,20,170,Apple
41,35,33,20,172,InvertedTriangle
40,32,42,17,179,Hourglass
40,39,42,19,157,Rectangle
38,34,49,15,169,Pear
37,35,34,18,156,Apple
39,33,32,23,151,InvertedTriangle
35,34,37,16,158,Rectangle
35,31,41,15,160,Pear
38,33,29,24,182,InvertedTriangle
39,39,38,19,163,Apple
39,38,36,19,167,Apple
34,32,36,19,177,Rectangle
34,31,33,18,181,Rectangle
40,37,30,22,172,InvertedTriangle
35,29,36,19,170,Hourglass
42,37,36,24,171,InvertedTriangle
40,38,37,19,157,Apple
43,40,34,20,158,InvertedTriangle
40,39,42,16,175,Rectangle
38,32,33,23,167,InvertedTriangle
42,33,42,16,174,Hourglass
41,40,38,17,184,Apple
37,36,39,18,156,Rectangle
38,37,39,18,164,Rectangle
37,33,44,17,158,Pear
41,40,38,20,168,Apple
38,35,31,24,172,InvertedTriangle
35,28,34,19,159,Hourglass
40,39,42,16,165,Rectangle
46,41,37,24,181,InvertedTriangle
38,33,50,18,185,Pear
39,31,41,19,172,Hourglass
42,33,41,16,172,Hourglass
44,44,42,17,151,Apple
42,41,40,19,153,Apple
42,33,44,17,178,Hourglass
32,28,44,18,183,Pear
35,32,36,17,182,Rectangle
40,36,33,21,151,InvertedTriangle
38,35,40,18,173,Rectangle
34,30,42,15,150,Pear
34,30,41,18,165,Pear
44,43,42,18,176,Apple
40,39,39,17,175,Rectangle
42,32,42,16,182,Hourglass
39,29,41,18,181,Hourglass
38,31,36,16,165,Hourglass
44,43,41,19,153,Apple
42,37,37,22,156,InvertedTriangle
36,33,43,18,153,Pear
41,40,40,18,185,Apple
42,36,44,18,180,Hourglass
38,36,37,18,151,Apple
37,34,39,16,167,Rectangle
37,35,38,19,159,Rectangle
33,29,45,18,181,Pear
38,34,33,21,168,InvertedTriangle
40,38,41,16,173,Rectangle
43,37,38,24,153,InvertedTriangle
35,26,35,17,152,Hourglass
44,44,41,20,168,Apple
39,29,37,19,165,Hourglass
39,38,38,17,166,Apple
42,42,41,18,150,Apple
39,39,36,19,177,Apple
38,35,44,17,180,Pear
34,31,36,18,182,Rectangle
35,32,35,17,169,Rectangle
46,40,39,23,170,InvertedTriangle
35,33,45,18,160,Pear
46,41,36,23,150,InvertedTriangle
32,30,43,15,178,Pear
37,30,38,16,163,Hourglass
44,43,41,17,181,Apple
42,36,32,24,161,InvertedTriangle
39,33,39,18,167,Hourglass
